ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.329	0.695	-0.118	0.000
0.700	4.333	0.696	-0.115	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.329	0.695	-0.118	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.329	0.696	-0.115	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.699	-0.108	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.329	0.698	-0.111	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.329	0.696	-0.115	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.699	-0.108	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.699	-0.108	0.000
0.700	4.326	0.699	-0.108	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.329	0.699	-0.108	0.000
0.700	4.331	0.699	-0.108	0.000
0.700	4.326	0.699	-0.108	0.000
0.700	4.331	0.699	-0.108	0.000
0.700	4.331	0.698	-0.111	0.000
0.700	4.326	0.699	-0.108	0.000
0.700	4.331	0.699	-0.108	0.000
0.700	4.326	0.701	0.108	0.000
-0.700	4.331	0.701	3.397	0.000
-0.700	4.319	0.704	3.404	0.000
-0.700	4.321	0.704	3.404	0.000
-0.700	4.319	0.704	3.404	0.000
-0.700	4.319	0.696	3.386	0.000
-0.700	4.321	0.687	3.365	0.000
-0.700	4.321	0.680	3.348	0.000
-0.700	4.324	0.671	3.327	0.000
-0.700	4.316	0.656	3.292	0.000
-0.700	4.321	0.647	3.272	0.000
-0.700	4.321	0.637	3.247	0.000
-0.700	4.324	0.624	3.216	0.000
-0.700	4.319	0.609	3.181	0.000
-0.700	4.321	0.599	3.157	0.000
-0.700	4.321	0.585	3.126	0.000
-0.700	4.319	0.571	3.091	0.000
-0.700	4.319	0.554	3.053	0.000
-0.700	4.321	0.542	3.025	0.000
-0.700	4.321	0.526	2.987	0.000
-0.700	4.321	0.511	2.952	0.000
-0.700	4.319	0.500	2.924	0.000
-0.700	4.321	0.483	2.886	0.000
-0.700	4.321	0.470	2.855	0.000
-0.700	4.324	0.454	2.817	0.000
-0.700	4.321	0.440	2.785	0.000
-0.700	4.319	0.426	2.751	0.000
-0.700	4.321	0.411	2.716	0.000
-0.700	4.321	0.396	2.681	0.000
-0.700	4.319	0.380	2.643	0.000
-0.700	4.321	0.368	2.615	0.000
-0.700	4.321	0.355	2.584	0.000
-0.700	4.321	0.344	2.560	0.000
-0.700	4.321	0.330	2.525	0.000
-0.700	4.321	0.318	2.497	0.000
-0.700	4.324	0.304	2.466	0.000
-0.700	4.321	0.291	2.434	0.000
-0.700	4.316	0.278	2.403	0.000
-0.700	4.321	0.266	2.375	0.000
-0.700	4.321	0.251	2.341	0.000
-0.700	4.321	0.242	2.320	0.000
-0.700	4.321	0.231	2.292	0.000
-0.700	4.321	0.214	2.254	0.000
